iter	RMSE
0	74447.8313
1	70561.67452
2	66230.9406
3	62264.79703
4	58760.8854
5	56003.69666
6	53213.6657
7	50637.07117
8	48058.11733
9	45935.20109
10	44143.26137
11	42302.50447
12	40587.76299
13	39158.13272
14	37832.37851
15	36657.83139
16	35420.58863
17	34462.66142
18	33587.70156
19	32655.26025
20	31723.98988
21	30939.19183
22	30121.37121
23	29394.4304
24	28733.45336
25	28128.56656
26	27517.5827
27	27054.56574
28	26520.19792
29	26105.34707
30	25709.44145
31	25276.62872
32	24857.56368
33	24704.93729
34	24344.86967
35	24017.55501
36	23659.59139
37	23419.97991
38	23138.14257
39	22933.98965
40	22666.64965
41	22439.68597
42	22231.63846
43	22070.3734
44	21867.00808
45	21653.06422
46	21484.84103
47	21367.48797
48	21173.77172
49	21009.74599
50	20826.2209
51	20759.55434
52	20531.03194
53	20430.69289
54	20259.86793
55	20122.62184
56	20033.35467
57	19908.93664
58	19793.93438
59	19701.90156
60	19652.09378
61	19485.56942
62	19361.8692
63	19289.58055
64	19216.09875
65	19138.30888
66	19038.94221
67	18963.11599
68	18929.30777
69	18838.36862
70	18771.24799
71	18696.4807
72	18617.0764
73	18536.44982
74	18403.76513
75	18331.95556
76	18284.43754
77	18220.85619
78	18166.25759
79	18065.17859
80	18033.64813
81	17944.70485
82	17807.45904
83	17748.46265
84	17699.38077
85	17649.10846
86	17557.40537
87	17486.04779
88	17463.28451
89	17332.49503
90	17293.28542
91	17252.27015
92	17178.16622
93	17142.93593
94	17112.7506
95	17020.10893
96	16988.62746
97	16903.77522
98	16831.0931
99	16715.55009
100	16638.84364
101	16614.59869
102	16567.70276
103	16514.42105
104	16444.38388
105	16359.18962
106	16327.33051
107	16287.3992
108	16172.56904
109	16049.23198
110	15959.7266
111	15953.04308
112	15939.2489
113	15868.80628
114	15792.62806
115	15757.54344
116	15691.5495
117	15649.80755
118	15592.80068
119	15515.85732
120	15461.96559
121	15353.78054
122	15314.77248
123	15248.42929
124	15149.21564
125	15074.70249
126	15063.97125
127	14985.88143
128	14967.46716
129	14892.96418
130	14887.00242
131	14880.77371
132	14842.89314
133	14774.19235
134	14704.86956
135	14648.74801
136	14579.56033
137	14535.50857
138	14520.31265
139	14451.61203
140	14390.70059
141	14331.41922
142	14284.95045
143	14231.03514
144	14161.95022
145	14103.74901
146	14046.93254
147	13977.13076
148	13914.0936
149	13870.75701
150	13807.33418
151	13745.73703
152	13681.5518
153	13627.54305
154	13581.24563
155	13542.64008
156	13536.27874
157	13470.63307
158	13424.36111
159	13367.0332
160	13315.53629
161	13274.78842
162	13254.6068
163	13217.88519
164	13214.01955
165	13176.9399
166	13134.07265
167	13096.37769
168	13031.42318
169	12971.02676
170	12899.11747
171	12861.71537
172	12828.70943
173	12771.18929
174	12740.8455
175	12684.53915
176	12629.7777
177	12595.38823
178	12543.6667
179	12497.71231
180	12441.92378
181	12370.66116
182	12336.91599
183	12288.51959
184	12234.45735
185	12208.91036
186	12172.93574
187	12148.94007
188	12118.94572
189	12092.44525
190	12067.13998
191	12016.0826
192	11943.27292
193	11896.3852
194	11851.55473
195	11800.47578
196	11756.40469
197	11700.6078
198	11675.85835
199	11642.71631
200	11605.63307
201	11560.55693
202	11511.94274
203	11449.84878
204	11400.42408
205	11348.55673
206	11314.3892
207	11270.98074
208	11223.77636
209	11165.95921
210	11130.66535
211	11100.01291
212	11066.7889
213	11007.85258
214	10966.92281
215	10923.56989
216	10874.61134
217	10848.82625
218	10819.74079
219	10799.32096
220	10740.94062
221	10712.74542
222	10697.09626
223	10694.38094
224	10682.2124
225	10657.03061
226	10626.77208
227	10587.80045
228	10558.91729
229	10507.69291
230	10469.80289
231	10416.27286
232	10368.37737
233	10336.8175
234	10302.22448
235	10270.38307
236	10231.52329
237	10168.08209
238	10126.73909
239	10104.67576
240	10070.39282
241	10043.62111
242	10007.61127
243	9974.953842
244	9968.779725
245	9965.31388
246	9962.62839
247	9938.1051
248	9888.638023
249	9854.100066
250	9849.002299
251	9846.588249
252	9794.440981
253	9746.167316
254	9716.947293
255	9679.007012
256	9676.871268
257	9632.332426
258	9609.225388
259	9605.597761
260	9583.093277
261	9546.757846
262	9502.543193
263	9479.085473
264	9455.469085
265	9453.260225
266	9449.267695
267	9425.414305
268	9397.930074
269	9388.880459
270	9352.754346
271	9302.764439
272	9266.676842
273	9237.037501
274	9201.528101
275	9158.791868
276	9129.533327
277	9091.461304
278	9059.623703
279	9044.738196
280	9021.591907
281	8973.695851
282	8966.221916
283	8948.813281
284	8918.247788
285	8883.834103
286	8865.448597
287	8834.063119
288	8809.394565
289	8788.435323
290	8752.619373
291	8705.75602
292	8687.349472
293	8664.157985
294	8662.08303
295	8633.060891
296	8618.204733
297	8599.450536
298	8581.42889
299	8557.471407
